"Date","RegionID","RegionName","State","Metro","County","SizeRank","Zhvi","MoM","QoQ","YoY","5Year","10Year","PeakMonth","PeakQuarter","PeakZHVI","PctFallFromPeak","LastTimeAtCurrZHVI"
2016-04-30,11540,"Fremont","CA","San Francisco","Alameda",97,907700,0.000992501102779003,0.0156652120398344,0.144929364278507,0.118766065604339,0.0293789604706678,"2016-04","2016-Q2",907700,0,"2016-04"
2016-04-30,52001,"Fayetteville","NC","Fayetteville","Cumberland",98,110600,0.0269266480965645,0.0414312617702448,0.0365510777881912,-0.00880418757604573,0.00862309559081775,"2010-10","2010-Q4",116800,-0.0530821917808219,"2008-02"
2016-04-30,7222,"Springfield","MO","Springfield","Greene",99,108400,0.00277520814061055,0.00743494423791822,0.0216776625824694,0.0102722208736932,-0.00370563040672622,"2009-06","2009-Q2",120000,-0.0966666666666667,"2005-10"
2016-04-30,30258,"Arlington","VA","Washington","Arlington",100,614000,0.00146794976349698,0.000488838194557601,-0.00178832710128434,0.0363956575448012,0.00879886382782069,"2015-04","2015-Q2",615100,-0.00178832710128434,"2015-04"
2016-04-30,12065,"Irving","TX","Dallas-Fort Worth","Dallas",101,157500,0.00510529674537333,0.0267275097783572,0.133093525179856,0.0682842518032651,0.016746000797861,"2016-04","2016-Q2",157500,0,"2016-04"
2016-04-30,4888,"Gilbert","AZ","Phoenix","Maricopa",102,283900,0.00176429075511644,0.00888415067519545,0.0656906906906907,0.0950499587467208,-0.0188760775525016,"2006-03","2006-Q1",344600,-0.176146256529309,"2005-06"
2016-04-30,54346,"Scottsdale","AZ","Phoenix","Maricopa",103,416200,0.00410132689987937,0.00945913170021829,0.0555414658889171,0.0717718909831848,-0.0150192814270084,"2006-02","2006-Q1",487700,-0.146606520401886,"2005-06"
2016-04-30,13550,"Rochester","NY","Rochester","Monroe",104,64200,0.003125,0.00469483568075117,0.0110236220472441,0.013623697910506,0.0105567771844584,"2016-04","2016-Q2",64200,0,"2016-04"
2016-04-30,41760,"Winston-Salem","NC","Winston-Salem","Forsyth",105,113900,0.000878734622144112,0.000878734622144112,0.0270513976555455,-0.00157288440517067,-0.00578194560496859,"2007-10","2007-Q4",125100,-0.0895283772981615,"2004-01"
2016-04-30,52650,"Irvine","CA","Los Angeles-Long Beach-Anaheim, CA","Orange",106,779600,-0.00675245254172506,-0.000256476019492177,0.0477086413116517,0.0532047292572833,0.000527437547974685,"2016-02","2016-Q1",786700,-0.00902504131180882,"2016-01"
2016-04-30,6752,"Richmond","VA","Richmond","Richmond City",107,155100,0,0.00453367875647668,0.0793319415448852,0.0272364508199061,0.00689532304459473,"2008-02","2008-Q1",158400,-0.0208333333333333,"2007-12"
2016-04-30,10477,"Boca Raton","FL","Miami-Fort Lauderdale","Palm Beach",108,301500,0.00366178428761651,0.0172064777327935,0.0876623376623377,0.0794700690417423,-0.0266007276711526,"2006-03","2006-Q1",396100,-0.238828578641757,"2005-01"
2016-04-30,13150,"Oxnard","CA","Ventura","Ventura",109,438600,0.00182731841023298,0.0124653739612188,0.0726338958180484,0.0813099920886575,-0.0313316018927384,"2006-05","2006-Q2",605200,-0.275280898876405,"2004-07"
2016-04-30,44282,"Bradenton","FL","North Port-Sarasota-Bradenton, FL","Manatee",110,204300,0.000979911807937286,0.0199700449326011,0.121911037891269,0.0926143656901854,-0.0304033103052143,"2006-03","2006-Q1",278700,-0.266953713670614,"2005-01"
