"Date","RegionID","RegionName","State","Metro","County","City","SizeRank","Zhvi","MoM","QoQ","YoY","5Year","10Year","PeakMonth","PeakQuarter","PeakZHVI","PctFallFromPeak","LastTimeAtCurrZHVI"
2016-04-30,62067,"11355","NY","New York","Queens","New York",90,393600,-0.00906344410876133,-0.0122961104140527,-0.109905020352782,-0.0108186714431774,,"2015-08","2015-Q3",456800,-0.138353765323993,"2012-11"
2016-04-30,97764,"94558","CA","Napa","Napa","Napa",91,555400,0.00816845162461427,0.0287090201889239,0.102202818019448,0.0829938598334574,-0.00933321090363715,"2006-01","2006-Q1",613700,-0.0949975558090272,"2004-12"
2016-04-30,99534,"98052","WA","Seattle","King","Redmond",92,615900,0.0153313550939664,0.0400202634245187,0.105348169418521,0.0885856056257368,0.0276885670321716,"2016-04","2016-Q2",615900,0,"2016-04"
2016-04-30,92654,"78745","TX","Austin","Travis","Austin",93,245000,0.012396694214876,0.0315789473684211,0.0759771629336847,0.0805746304479216,0.05846782701566,"2016-04","2016-Q2",245000,0,"2016-04"
2016-04-30,60081,"06010","CT","Hartford","Hartford","Bristol",94,171600,0.00175131348511384,0.00233644859813084,0.0177935943060498,-0.0135351261871561,-0.0206425529520201,"2007-03","2007-Q1",219800,-0.219290263876251,"2004-03"
2016-04-30,71864,"32210","FL","Jacksonville","Duval","Jacksonville",95,100400,0.00601202404809619,0.0244897959183673,0.108167770419426,0.0333770771827364,-0.0304621650028539,"2007-03","2007-Q1",147300,-0.318397827562797,"2004-10"
2016-04-30,92336,"78240","TX","San Antonio","Bexar","San Antonio",96,154300,0.00521172638436482,0.0178100263852243,0.0641379310344828,0.0283067392054686,0.018069956688709,"2016-04","2016-Q2",154300,0,"2016-04"
2016-04-30,64180,"15601","PA","Pittsburgh","Westmoreland","Greensburg",97,137200,-0.00145560407569141,0.00808229243203527,0.0215934475055845,0.0165328259879447,0.0118940461263044,"2016-03","2016-Q1",137400,-0.00145560407569141,"2016-02"
2016-04-30,70810,"30024","GA","Atlanta","Gwinnett","Suwanee",98,299500,0.0033500837520938,0.0135363790186125,0.068498037816625,0.051858748163738,0.00802236777838528,"2016-04","2016-Q2",299500,0,"2016-04"
2016-04-30,58669,"02169","MA","Boston","Norfolk","Quincy",99,347600,0.000575705238917674,-0.00172314761631246,0.0336009515313708,0.0389127267578362,0.00159620271831229,"2005-10","2005-Q4",351300,-0.0105323085681753,"2005-03"
